subject,group,window_size,window_dur_s,strategy,attend_side,difficulty,score,r_att,r_ign,delta_r,correct
sub-001,HI,16,800,concatenate,,,,0.09125053867739712,0.019477189550139985,0.07177334912725714,True
sub-001,HI,16,800,concatenate,,,,0.06014002336094071,0.0034848576000773073,0.0566551657608634,True
sub-002,HI,16,800,concatenate,,,,0.1351811644573791,0.04545855667237095,0.08972260778500815,True
sub-002,HI,16,800,concatenate,,,,0.1311758195859233,0.013516647229569868,0.11765917235635344,True
sub-003,HI,16,800,concatenate,,,,0.027057851880118493,0.005647648127330346,0.021410203752788147,True
sub-003,HI,16,800,concatenate,,,,0.010925678477370734,0.025346196999817973,-0.014420518522447238,False
sub-004,HI,16,800,concatenate,,,,0.06577637994168033,0.011806952904207605,0.05396942703747272,True
sub-004,HI,16,800,concatenate,,,,0.0868994902783947,0.03956563751422526,0.047333852764169446,True
sub-005,HI,16,800,concatenate,,,,0.07514473778166753,0.018218103069863826,0.0569266347118037,True
sub-005,HI,16,800,concatenate,,,,0.06809339978108551,0.026531035448796092,0.04156236433228942,True
sub-006,HI,16,800,concatenate,,,,0.07693007471026843,0.0038408788879126517,0.07308919582235578,True
sub-006,HI,16,800,concatenate,,,,0.037984699638892866,0.017978488033391297,0.02000621160550157,True
sub-007,HI,16,800,concatenate,,,,0.049479092794539804,0.024494589770460238,0.024984503024079566,True
sub-007,HI,16,800,concatenate,,,,0.022377828110456563,0.004453715164004453,0.01792411294645211,True
sub-008,HI,16,800,concatenate,,,,0.0031248586223362415,0.04517152528217464,-0.0420466666598384,False
sub-008,HI,16,800,concatenate,,,,0.03832203997804238,0.002997857281993808,0.03532418269604857,True
sub-009,HI,16,800,concatenate,,,,0.10263219757596405,0.0228321517309264,0.07980004584503765,True
sub-009,HI,16,800,concatenate,,,,0.07974373951698563,0.010910290734114642,0.06883344878287098,True
sub-010,HI,16,800,concatenate,,,,0.08408720088000177,0.006909353745109913,0.07717784713489186,True
sub-010,HI,16,800,concatenate,,,,0.09530259706001193,0.007690616551395309,0.08761198050861663,True
sub-011,HI,16,800,concatenate,,,,0.06215415560411671,0.06247727644898966,-0.0003231208448729525,False
sub-011,HI,16,800,concatenate,,,,0.05986523892010639,0.04541784364713403,0.014447395272972355,True
sub-012,HI,16,800,concatenate,,,,0.054223280354036,0.07647955483593635,-0.022256274481900352,False
sub-012,HI,16,800,concatenate,,,,0.06293497923952437,0.006290848162824528,0.05664413107669985,True
sub-013,HI,16,800,concatenate,,,,0.04826779023213169,0.019404649637889643,0.028863140594242043,True
sub-013,HI,16,800,concatenate,,,,0.05435348884746748,0.02035153047420413,0.03400195837326335,True
sub-014,HI,16,800,concatenate,,,,0.032629416196351464,0.019699303701467132,0.012930112494884332,True
sub-014,HI,16,800,concatenate,,,,0.05914696358811643,0.011580353870979068,0.04756660971713736,True
sub-015,HI,16,800,concatenate,,,,0.05876310205586013,0.016175631934402187,0.04258747012145794,True
sub-015,HI,16,800,concatenate,,,,0.04455584922944114,0.01645778517837879,0.02809806405106235,True
sub-016,HI,16,800,concatenate,,,,0.029944614812751354,0.07065987396407651,-0.04071525915132516,False
sub-016,HI,16,800,concatenate,,,,0.08558736546875169,0.04315052310333699,0.0424368423654147,True
sub-017,HI,16,800,concatenate,,,,0.060664746099561684,0.008582856188832642,0.05208188991072904,True
sub-017,HI,16,800,concatenate,,,,0.030084401644264618,0.001271944894070877,0.02881245675019374,True
sub-018,HI,16,800,concatenate,,,,0.055917479455142555,0.006913123184398819,0.04900435627074373,True
sub-018,HI,16,800,concatenate,,,,0.09438037107937287,0.007028969768337993,0.08735140131103489,True
sub-019,HI,16,800,concatenate,,,,0.004992049497263786,0.012502840788515041,-0.007510791291251255,False
sub-019,HI,16,800,concatenate,,,,0.014168131669504144,0.013074967693471202,0.0010931639760329414,True
sub-020,HI,16,800,concatenate,,,,0.0779645741213125,0.07283676928800814,0.005127804833304356,True
sub-020,HI,16,800,concatenate,,,,0.08915227030908877,0.05748485474535467,0.031667415563734105,True
sub-041,HI,16,800,concatenate,,,,0.15509149534724376,0.027585189773433286,0.12750630557381049,True
sub-041,HI,16,800,concatenate,,,,0.1597350595057725,0.045230969999493165,0.11450408950627933,True
sub-042,HI,16,800,concatenate,,,,0.06902130291523825,0.038565591929269775,0.030455710985968477,True
sub-042,HI,16,800,concatenate,,,,0.0798068958186125,0.022875452840396167,0.05693144297821633,True
