subject,group,window_size,window_dur_s,strategy,attend_side,difficulty,score,r_att,r_ign,delta_r,correct
sub-021,NH,1,30,concatenate,attendright,20.0,100.0,0.019905757315947917,0.04612000912810343,-0.02621425181215551,False
sub-021,NH,1,30,concatenate,attendleft,10.0,100.0,0.11984265968061247,0.018049885984183372,0.1017927736964291,True
sub-021,NH,1,30,concatenate,attendright,27.0,100.0,0.03047920594768856,0.013086835912862268,0.017392370034826292,True
sub-021,NH,1,30,concatenate,attendleft,17.0,100.0,0.0020474314630817233,0.07732225503293293,-0.0752748235698512,False
sub-021,NH,1,30,concatenate,attendright,4.0,100.0,0.12327725496511104,0.03221055445076358,0.09106670051434745,True
sub-021,NH,1,30,concatenate,attendleft,5.0,100.0,0.05170358458534173,0.14962206620814428,-0.09791848162280255,False
sub-021,NH,1,30,concatenate,attendleft,5.0,100.0,0.005197712315037501,0.07272280096636215,-0.06752508865132464,False
sub-021,NH,1,30,concatenate,attendright,2.0,100.0,0.03363576885412174,0.07357809950109692,-0.03994233064697518,False
sub-021,NH,1,30,concatenate,attendright,17.0,100.0,0.24498344591683366,0.03367650070077181,0.21130694521606186,True
sub-021,NH,1,30,concatenate,attendleft,19.0,75.0,0.19362554949211974,0.02766174465837319,0.16596380483374656,True
sub-021,NH,1,30,concatenate,attendright,14.0,100.0,0.026992993023354138,0.12000630265880423,-0.0930133096354501,False
sub-021,NH,1,30,concatenate,attendright,22.0,100.0,0.1812838004270689,0.024612492588495953,0.15667130783857294,True
sub-021,NH,1,30,concatenate,attendleft,9.0,100.0,0.05551118268794663,0.09995099542546006,-0.04443981273751343,False
sub-021,NH,1,30,concatenate,attendleft,4.0,100.0,0.06494764109065658,0.08040823275634724,-0.015460591665690665,False
sub-021,NH,1,30,concatenate,attendright,62.0,100.0,0.15111806067131608,0.045639924875854804,0.10547813579546128,True
sub-021,NH,1,30,concatenate,attendleft,26.0,100.0,0.07807863255316627,0.042334128974767286,0.035744503578398985,True
sub-021,NH,1,30,concatenate,attendright,5.0,100.0,0.17153496895488135,0.024361360393275848,0.1471736085616055,True
sub-021,NH,1,30,concatenate,attendleft,7.0,75.0,0.010567254292662613,0.01878914701851916,-0.008221892725856548,False
sub-021,NH,1,30,concatenate,attendleft,5.0,100.0,0.048784903846933944,0.03926725949895087,0.009517644347983072,True
sub-021,NH,1,30,concatenate,attendright,22.0,100.0,0.0656195152817067,0.12732225813447426,-0.061702742852767556,False
sub-021,NH,1,30,concatenate,attendright,14.0,100.0,0.2511061921988714,0.0536791536263242,0.19742703857254723,True
sub-021,NH,1,30,concatenate,attendright,26.0,100.0,0.07183545875003786,0.06195911078759015,0.009876347962447705,True
sub-021,NH,1,30,concatenate,attendleft,3.0,100.0,0.15764086780461564,0.14742905707809714,0.0102118107265185,True
sub-021,NH,1,30,concatenate,attendleft,25.0,75.0,0.03080901667520952,0.011553168299712976,0.019255848375496543,True
sub-021,NH,1,30,concatenate,attendright,4.0,100.0,0.1991436866624744,0.08636029529848588,0.11278339136398852,True
sub-021,NH,1,30,concatenate,attendleft,34.0,100.0,0.15289312650612025,0.1330799750192701,0.019813151486850145,True
