subject,group,window_size,window_dur_s,strategy,attend_side,difficulty,score,r_att,r_ign,delta_r,correct
sub-021,NH,1,50,concatenate,attendright,20.0,100.0,0.10639040428881263,0.09634728108095388,0.010043123207858759,True
sub-021,NH,1,50,concatenate,attendleft,10.0,100.0,0.12928231043694657,0.03786422747171797,0.0914180829652286,True
sub-021,NH,1,50,concatenate,attendright,27.0,100.0,0.02590909194980565,0.028034141692492867,-0.0021250497426872177,False
sub-021,NH,1,50,concatenate,attendleft,17.0,100.0,0.0544939566135796,0.059256351067929126,-0.004762394454349526,False
sub-021,NH,1,50,concatenate,attendright,4.0,100.0,0.15058753464945562,0.008700409472666508,0.14188712517678911,True
sub-021,NH,1,50,concatenate,attendleft,5.0,100.0,0.03948875192457783,0.12524250948008997,-0.08575375755551214,False
sub-021,NH,1,50,concatenate,attendleft,5.0,100.0,0.021195928725348003,0.052231243930358495,-0.031035315205010492,False
sub-021,NH,1,50,concatenate,attendright,2.0,100.0,0.04895015017467928,0.03221113592367891,0.01673901425100037,True
sub-021,NH,1,50,concatenate,attendright,17.0,100.0,0.08554978374526845,0.030918552849213587,0.05463123089605486,True
sub-021,NH,1,50,concatenate,attendleft,19.0,75.0,0.15473174392214942,0.06787342878176399,0.08685831514038543,True
sub-021,NH,1,50,concatenate,attendright,14.0,100.0,0.11689105210143509,0.06143883124731282,0.05545222085412227,True
sub-021,NH,1,50,concatenate,attendright,22.0,100.0,0.05820408181647957,0.05045533669981445,0.007748745116665116,True
sub-021,NH,1,50,concatenate,attendleft,9.0,100.0,0.09290498020142869,0.1010366624427057,-0.008131682241277013,False
sub-021,NH,1,50,concatenate,attendleft,4.0,100.0,0.12335539256236953,0.0688923623585446,0.05446303020382494,True
sub-021,NH,1,50,concatenate,attendright,62.0,100.0,0.0523713881117508,0.009415035642580512,0.04295635246917029,True
sub-021,NH,1,50,concatenate,attendleft,26.0,100.0,0.13228353310660554,0.035448160630017427,0.0968353724765881,True
sub-021,NH,1,50,concatenate,attendright,5.0,100.0,0.16671003622508687,0.0010136795438085617,0.1656963566812783,True
