subject,group,trial,attend_side,difficulty,score,r_att,r_ign,delta_r,correct
sub-021,NH,sub021/target/t002.wav,attendright,20.0,100.0,0.19469238453593218,0.14144460709099493,0.05324777744493725,True
sub-021,NH,sub021/target/t003.wav,attendleft,10.0,100.0,0.16238028034905336,0.0987121950583004,0.06366808529075296,True
sub-021,NH,sub021/target/t004.wav,attendright,27.0,100.0,0.11978232392716218,0.160173617124608,-0.04039129319744583,False
sub-021,NH,sub021/target/t005.wav,attendleft,17.0,100.0,0.04374659989250066,0.02982186464616203,0.01392473524633863,True
sub-021,NH,sub021/target/t007.wav,attendright,4.0,100.0,0.11235872041643082,0.08535077580001842,0.0270079446164124,True
sub-021,NH,sub021/target/t008.wav,attendleft,5.0,100.0,0.12980469274818698,0.004763975068306336,0.12504071767988065,True
sub-021,NH,sub021/target/t011.wav,attendleft,5.0,100.0,0.05138438303498993,0.008127060197283395,0.04325732283770654,True
sub-021,NH,sub021/target/t012.wav,attendright,2.0,100.0,0.0918073925140866,0.030258822060975885,0.06154857045311071,True
sub-021,NH,sub021/target/t015.wav,attendright,17.0,100.0,0.1570765262489972,0.04023591266475982,0.11684061358423739,True
sub-021,NH,sub021/target/t016.wav,attendleft,19.0,75.0,0.1823100962089774,0.08318102101465795,0.09912907519431945,True
sub-021,NH,sub021/target/t017.wav,attendright,14.0,100.0,0.23841420887874112,0.05416320528827446,0.18425100359046667,True
sub-021,NH,sub021/target/t018.wav,attendright,22.0,100.0,0.006647626100637479,0.022563193878826417,-0.01591556777818894,False
sub-021,NH,sub021/target/t019.wav,attendleft,9.0,100.0,0.1536644911967975,0.07326542912720461,0.0803990620695929,True
sub-021,NH,sub021/target/t020.wav,attendleft,4.0,100.0,0.15730404603142906,0.008577637189301983,0.14872640884212707,True
sub-021,NH,sub021/target/t022.wav,attendright,62.0,100.0,0.12599730456172623,0.022394690332041934,0.1036026142296843,True
sub-021,NH,sub021/target/t024.wav,attendleft,26.0,100.0,0.1073218565939816,0.010439579223513946,0.09688227737046765,True
sub-021,NH,sub021/target/t026.wav,attendright,5.0,100.0,0.17558552707518965,0.07224167895324587,0.10334384812194378,True
sub-021,NH,sub021/target/t028.wav,attendleft,7.0,75.0,0.08990965741839302,0.035500460162874704,0.054409197255518314,True
sub-021,NH,sub021/target/t030.wav,attendleft,5.0,100.0,0.11391872943288305,0.08039820480403076,0.033520524628852286,True
sub-021,NH,sub021/target/t031.wav,attendright,22.0,100.0,0.23145540035301435,0.004335336583004421,0.22712006377000993,True
sub-021,NH,sub021/target/t032.wav,attendright,14.0,100.0,0.17878624980892507,0.14243594277333474,0.036350307035590335,True
sub-021,NH,sub021/target/t034.wav,attendright,26.0,100.0,0.09278462758701025,0.025593813707638375,0.06719081387937188,True
sub-021,NH,sub021/target/t035.wav,attendleft,3.0,100.0,0.09797367216447919,0.094112823510643,0.0038608486538361936,True
sub-021,NH,sub021/target/t036.wav,attendleft,25.0,75.0,0.125076555847941,0.08464112451399702,0.04043543133394398,True
sub-021,NH,sub021/target/t038.wav,attendright,4.0,100.0,0.28469129084294115,0.015169458469076474,0.2695218323738647,True
sub-021,NH,sub021/target/t040.wav,attendleft,34.0,100.0,0.22036393762899045,0.1038883938244461,0.11647554380454435,True
sub-021,NH,sub021/target/t042.wav,attendright,51.0,100.0,0.26291086425680066,0.0947007516330802,0.16821011262372046,True
sub-021,NH,sub021/target/t044.wav,attendright,51.0,75.0,0.21581953660281347,0.04820002816371073,0.16761950843910273,True
sub-021,NH,sub021/target/t045.wav,attendleft,61.0,100.0,0.1631080311859218,0.08866826803941975,0.07443976314650204,True
sub-021,NH,sub021/target/t046.wav,attendleft,62.0,100.0,0.12439185718267448,0.00029133959597305714,0.12410051758670143,True
sub-021,NH,sub021/target/t047.wav,attendright,37.0,100.0,0.21046738902401207,0.09339688167888575,0.11707050734512632,True
sub-021,NH,sub021/target/t048.wav,attendleft,10.0,75.0,0.22584901069988395,0.008062347445914199,0.21778666325396975,True
sub-022,NH,sub022/target/t002.wav,attendleft,1.0,100.0,0.09590439124076208,0.0841462229418806,0.011758168298881488,True
sub-022,NH,sub022/target/t004.wav,attendleft,4.0,100.0,0.06359795509292633,0.004135338413647716,0.059462616679278615,True
sub-022,NH,sub022/target/t006.wav,attendright,50.0,100.0,0.15810712220026352,0.0792951136586339,0.07881200854162962,True
sub-022,NH,sub022/target/t007.wav,attendleft,2.0,100.0,0.07099914827064346,0.02917692310652417,0.04182222516411929,True
sub-022,NH,sub022/target/t009.wav,attendleft,1.0,100.0,0.07726537150895177,0.1134068826057417,-0.036141511096789924,False
sub-022,NH,sub022/target/t010.wav,attendright,2.0,100.0,0.13814685469645915,0.05655674883038779,0.08159010586607136,True
sub-022,NH,sub022/target/t011.wav,attendright,4.0,100.0,0.12259214717211044,0.043187794935129566,0.07940435223698086,True
sub-022,NH,sub022/target/t012.wav,attendleft,2.0,100.0,0.15472885901352526,0.05822723595585837,0.0965016230576669,True
sub-022,NH,sub022/target/t016.wav,attendleft,4.0,75.0,0.12752088404986092,0.003704179658645627,0.1238167043912153,True
sub-022,NH,sub022/target/t018.wav,attendright,4.0,100.0,0.07998345297202646,0.1295348978641367,-0.04955144489211023,False
sub-022,NH,sub022/target/t019.wav,attendleft,2.0,100.0,0.15262094234792067,0.02526353880189479,0.12735740354602587,True
sub-022,NH,sub022/target/t020.wav,attendleft,2.0,100.0,0.052297693350810893,0.06813916780646583,-0.01584147445565493,False
sub-022,NH,sub022/target/t021.wav,attendright,4.0,100.0,0.23979133694818727,0.17126116397248742,0.06853017297569985,True
sub-022,NH,sub022/target/t022.wav,attendright,2.0,75.0,0.013457720503679636,0.061359946126302814,-0.04790222562262318,False
sub-022,NH,sub022/target/t023.wav,attendleft,2.0,100.0,0.16109040332336666,0.013014056366662774,0.14807634695670388,True
sub-022,NH,sub022/target/t024.wav,attendleft,1.0,100.0,0.18029892244045279,0.0016146502367612185,0.17868427220369157,True
sub-022,NH,sub022/target/t026.wav,attendleft,0.0,100.0,0.12865364775140076,0.05511944297182382,0.07353420477957694,True
sub-022,NH,sub022/target/t027.wav,attendright,1.0,100.0,0.04355069645263529,0.07039967665202392,-0.026848980199388625,False
sub-022,NH,sub022/target/t029.wav,attendright,2.0,100.0,0.052897490999663906,0.012764197954246439,0.04013329304541747,True
sub-022,NH,sub022/target/t030.wav,attendright,1.0,100.0,0.174856818045205,0.029384184391613995,0.145472633653591,True
sub-022,NH,sub022/target/t031.wav,attendleft,2.0,75.0,0.07254139773042496,0.06364367070335307,0.008897727027071894,True
sub-022,NH,sub022/target/t032.wav,attendright,1.0,100.0,0.10740638392528928,0.04821802566040746,0.05918835826488182,True
sub-022,NH,sub022/target/t033.wav,attendright,1.0,100.0,0.247612112911288,0.05408255038048476,0.19352956253080325,True
sub-022,NH,sub022/target/t035.wav,attendleft,0.0,100.0,0.15942823935479547,0.04712402004461231,0.11230421931018317,True
sub-022,NH,sub022/target/t039.wav,attendright,3.0,100.0,0.14610109734101334,0.0385261209945197,0.10757497634649364,True
sub-022,NH,sub022/target/t041.wav,attendleft,5.0,100.0,0.15730510245813661,0.11015813619590353,0.04714696626223308,True
sub-022,NH,sub022/target/t042.wav,attendright,2.0,100.0,0.2734794940830174,0.04077892219924094,0.23270057188377646,True
sub-022,NH,sub022/target/t043.wav,attendleft,2.0,100.0,0.1725833394513736,0.07580353616304487,0.09677980328832873,True
sub-022,NH,sub022/target/t044.wav,attendright,2.0,100.0,0.07254972704642558,0.06481426858746493,0.007735458458960648,True
sub-022,NH,sub022/target/t045.wav,attendright,3.0,50.0,0.19636108677345623,0.06616434684526817,0.13019673992818806,True
sub-022,NH,sub022/target/t047.wav,attendright,5.0,100.0,0.14118823243111564,0.08025384524172421,0.060934387189391426,True
sub-022,NH,sub022/target/t048.wav,attendleft,4.0,100.0,0.02644038318450437,0.04423028124263215,-0.017789898058127775,False
sub-023,NH,sub023/target/t002.wav,attendright,0.0,100.0,0.06072245975686658,0.02704480025920593,0.033677659497660654,True
sub-023,NH,sub023/target/t003.wav,attendright,12.0,100.0,0.11403393537084229,0.08630943775488654,0.027724497615955745,True
sub-023,NH,sub023/target/t004.wav,attendright,11.0,100.0,0.10286541383760564,0.027788459418836255,0.07507695441876938,True
sub-023,NH,sub023/target/t007.wav,attendright,5.0,75.0,0.12221183112020712,0.0028618380983294147,0.1193499930218777,True
sub-023,NH,sub023/target/t008.wav,attendleft,14.0,75.0,0.007833792987035538,0.020726457419573553,-0.012892664432538016,False
sub-023,NH,sub023/target/t009.wav,attendleft,9.0,100.0,0.06311247356485945,0.020124325702608224,0.04298814786225123,True
sub-023,NH,sub023/target/t010.wav,attendleft,7.0,100.0,0.10074319571024337,0.08524029916380843,0.015502896546434941,True
sub-023,NH,sub023/target/t011.wav,attendleft,9.0,75.0,0.09662830852293947,0.011881360210596308,0.08474694831234315,True
sub-023,NH,sub023/target/t014.wav,attendright,9.0,25.0,0.13755397212226667,0.05442819590123613,0.08312577622103054,True
sub-023,NH,sub023/target/t015.wav,attendleft,11.0,100.0,0.028677567112616216,0.019589330733574613,0.009088236379041603,True
sub-023,NH,sub023/target/t016.wav,attendleft,9.0,50.0,0.21244401427043577,0.01854657651784836,0.19389743775258741,True
sub-023,NH,sub023/target/t017.wav,attendleft,5.0,100.0,0.11287834529372993,0.055751561860817755,0.05712678343291218,True
sub-023,NH,sub023/target/t018.wav,attendleft,5.0,75.0,0.05364070626171719,0.09353869835922804,-0.03989799209751085,False
sub-023,NH,sub023/target/t019.wav,attendleft,6.0,100.0,0.16592919617754823,0.023155761240333812,0.14277343493721442,True
sub-023,NH,sub023/target/t021.wav,attendleft,15.0,100.0,0.0603037235572632,0.07227146107311873,-0.011967737515855531,False
sub-023,NH,sub023/target/t024.wav,attendright,5.0,100.0,0.01714077891262686,0.046682292504405684,-0.029541513591778826,False
sub-023,NH,sub023/target/t026.wav,attendright,0.0,100.0,0.0644861174052443,0.07531621085061779,-0.010830093445373487,False
sub-023,NH,sub023/target/t028.wav,attendright,6.0,100.0,0.040734505415219814,0.05178987572403296,-0.011055370308813144,False
sub-023,NH,sub023/target/t030.wav,attendleft,2.0,100.0,0.03441786410862344,0.0701576944580829,-0.035739830349459455,False
sub-023,NH,sub023/target/t031.wav,attendright,3.0,100.0,0.16345071472041958,0.14409056909982473,0.01936014562059485,True
sub-023,NH,sub023/target/t032.wav,attendright,2.0,100.0,0.020333258893597064,0.03676619550533173,-0.016432936611734665,False
sub-023,NH,sub023/target/t033.wav,attendleft,2.0,100.0,0.08145224717058268,0.020524605207806253,0.060927641962776426,True
sub-023,NH,sub023/target/t034.wav,attendleft,1.0,100.0,0.07425756152896436,0.019322076780020417,0.05493548474894394,True
sub-023,NH,sub023/target/t035.wav,attendleft,3.0,100.0,0.06822864651520295,0.027845896085625755,0.0403827504295772,True
sub-023,NH,sub023/target/t038.wav,attendright,3.0,100.0,0.08599135604035113,0.021971722448980463,0.06401963359137067,True
sub-023,NH,sub023/target/t039.wav,attendright,1.0,100.0,0.03828215190776546,0.07975882168978997,-0.04147666978202451,False
sub-023,NH,sub023/target/t040.wav,attendright,2.0,100.0,0.09270745481072261,0.034499755514034204,0.058207699296688405,True
sub-023,NH,sub023/target/t041.wav,attendleft,2.0,100.0,0.006140031395220647,0.10174089083961983,-0.09560085944439918,False
sub-023,NH,sub023/target/t044.wav,attendright,2.0,100.0,0.0765604616375288,0.011666226459717646,0.06489423517781116,True
sub-023,NH,sub023/target/t045.wav,attendright,2.0,75.0,0.06283053295069418,0.00831101611494838,0.0545195168357458,True
sub-023,NH,sub023/target/t046.wav,attendleft,2.0,100.0,0.005603932063699534,0.00923439561732357,-0.003630463553624036,False
sub-023,NH,sub023/target/t047.wav,attendright,1.0,100.0,0.11986678658727545,0.06328651900871153,0.05658026757856392,True
sub-024,NH,sub024/target/t002.wav,attendleft,24.0,100.0,0.009487533777135187,0.019535254741293754,-0.010047720964158567,False
sub-024,NH,sub024/target/t004.wav,attendleft,25.0,100.0,0.0655686534255762,0.07247781996495874,-0.006909166539382533,False
sub-024,NH,sub024/target/t005.wav,attendright,24.0,100.0,0.09406645689508585,0.0424188422375711,0.051647614657514745,True
sub-024,NH,sub024/target/t007.wav,attendleft,24.0,100.0,0.04412785781958457,0.050614729598318704,-0.006486871778734131,False
sub-024,NH,sub024/target/t009.wav,attendright,25.0,100.0,0.16639010602054446,0.012433853747913708,0.15395625227263077,True
sub-024,NH,sub024/target/t010.wav,attendright,24.0,100.0,0.16316638736836325,0.0852099202976373,0.07795646707072595,True
sub-024,NH,sub024/target/t011.wav,attendright,25.0,75.0,0.17920054407156635,0.06419876484138981,0.11500177923017654,True
sub-024,NH,sub024/target/t012.wav,attendleft,25.0,100.0,0.033968455353082766,0.11955136541577484,-0.08558291006269207,False
sub-024,NH,sub024/target/t016.wav,attendright,25.0,100.0,0.21470486642897588,0.000232442907996631,0.21447242352097926,True
sub-024,NH,sub024/target/t017.wav,attendright,24.0,100.0,0.07215826050134366,0.06642507318733792,0.005733187314005739,True
sub-024,NH,sub024/target/t018.wav,attendleft,25.0,100.0,0.07595051035769913,0.0712525652668497,0.004697945090849434,True
sub-024,NH,sub024/target/t020.wav,attendleft,24.0,100.0,0.12181016137239495,0.02323038566727349,0.09857977570512146,True
sub-024,NH,sub024/target/t021.wav,attendright,24.0,100.0,0.09511848344500161,0.08770884137280556,0.007409642072196049,True
