subject,group,trial,attend_side,difficulty,score,r_att,r_ign,delta_r,correct
sub-021,NH,concatenated,,,,0.0858470273781869,0.02824521369669362,0.05760181368149328,True
sub-022,NH,concatenated,,,,0.06915318948053317,0.0004375174531635874,0.06871567202736958,True
sub-023,NH,concatenated,,,,0.05588214281406774,0.007830243076669897,0.048051899737397846,True
sub-024,NH,concatenated,,,,0.10513385196894617,0.002780809432496708,0.10235304253644946,True
sub-025,NH,concatenated,,,,0.08316766976893501,0.0013781248036995064,0.08178954496523551,True
sub-026,NH,concatenated,,,,0.06493078459964907,0.032860579329964903,0.03207020526968417,True
sub-027,NH,concatenated,,,,0.061273955407045194,0.011351099241937205,0.04992285616510799,True
sub-028,NH,concatenated,,,,0.0038429886003260075,0.008843903719427369,-0.005000915119101361,False
sub-029,NH,concatenated,,,,0.04594248847171627,0.0006979755350278505,0.045244512936688415,True
sub-030,NH,concatenated,,,,0.03886494748897867,0.044561410102729467,-0.0056964626137507995,False
sub-031,NH,concatenated,,,,0.058909204276629615,0.04552829451607487,0.013380909760554748,True
sub-032,NH,concatenated,,,,0.08217875876294396,0.03964940592746544,0.04252935283547852,True
sub-033,NH,concatenated,,,,0.04907008427246429,0.0198683810973903,0.029201703175073986,True
sub-034,NH,concatenated,,,,0.07637116610108394,0.00464791642873295,0.07172324967235098,True
sub-035,NH,concatenated,,,,0.02990960811831637,0.013874249190211487,0.016035358928104884,True
sub-036,NH,concatenated,,,,0.02357995426722533,0.02375547951358722,-0.00017552524636189198,False
sub-037,NH,concatenated,,,,0.10450917827805917,0.04966828791771921,0.054840890360339956,True
sub-038,NH,concatenated,,,,0.0718002258928944,0.0050584559490151875,0.06674176994387922,True
sub-039,NH,concatenated,,,,0.0017345611677351055,0.040505762642750395,-0.03877120147501529,False
sub-040,NH,concatenated,,,,0.13938551904908594,0.024780400321440705,0.11460511872764524,True
sub-043,NH,concatenated,,,,0.12145261845587622,0.050215362913646554,0.07123725554222968,True
sub-044,NH,concatenated,,,,0.000935852508670297,0.04709170411358948,-0.04615585160491919,False
